tournament_name,team_a,team_a_score,team_a_player_1,team_a_player_1_tuh,team_a_player_1_powers,team_a_player_1_gets,team_a_player_1_negs,team_a_player_2,team_a_player_2_tuh,team_a_player_2_powers,team_a_player_2_gets,team_a_player_2_negs,team_a_player_3,team_a_player_3_tuh,team_a_player_3_powers,team_a_player_3_gets,team_a_player_3_negs,team_a_player_4,team_a_player_4_tuh,team_a_player_4_powers,team_a_player_4_gets,team_a_player_4_negs,team_b,team_b_score,team_b_player_1,team_b_player_1_tuh,team_b_player_1_powers,team_b_player_1_gets,team_b_player_1_negs,team_b_player_2,team_b_player_2_tuh,team_b_player_2_powers,team_b_player_2_gets,team_b_player_2_negs,team_b_player_3,team_b_player_3_tuh,team_b_player_3_powers,team_b_player_3_gets,team_b_player_3_negs,team_b_player_4,team_b_player_4_tuh,team_b_player_4_powers,team_b_player_4_gets,team_b_player_4_negs
Penn Bowl 2024,Les junglers de Nostre Dame,200,Zhenglin Liu,20,1,0,0,Paul Kasiński,20,0,2,0,Kais Jessa,20,0,1,1,Henry Atkins,20,0,4,4,Toronto B,295,Rayton Lin,20,0,0,0,Parth Jagtap,20,0,8,1,Kunaal Chandrashekar,20,0,3,0,Ben Wismath,20,0,0,0
Penn Bowl 2024,Toronto ACF Winter Editors (and Gareth!),375,Sky Li,20,1,1,0,Raymond Chen,20,0,0,1,Gareth Thorlakson,20,1,2,0,Benjamin Chapman,20,4,3,0,Les junglers de Nostre Dame,190,Zhenglin Liu,20,1,4,0,Paul Kasiński,20,0,0,0,Kais Jessa,20,0,1,1,Henry Atkins,20,0,2,2
Penn Bowl 2024,R1 replacement bus service will run between Tunney's Pasture and Blair stations,325,Maude-Sophie Lockman,20,0,1,1,James Wang,20,0,0,0,Colin Veevers,20,1,3,1,Adrian Wong,20,3,4,1,Toronto just put the Northrop Fryes in the bag,150,Yihong Chen,20,1,1,0,Joey Sun,20,0,3,1,Franklin Wu,20,1,1,1,Athan Juritsch,20,0,0,0
Penn Bowl 2024,Chimera Team B,90,Milan Fernandez,20,0,1,2,Ishan Joshi,20,0,4,2,Halee Carey,20,0,0,0,Elijah Mandelbaum,20,0,1,0,Toronto B,310,Rayton Lin,20,0,1,0,Parth Jagtap,20,1,5,3,Kunaal Chandrashekar,20,1,5,0,Ben Wismath,20,0,0,1
Penn Bowl 2024,Waterloo Gulistan,195,Michael Du,20,0,2,3,Mattias Ehatamm,20,0,3,2,Liam Kusalik,20,0,2,0,Jared He,20,0,2,0,McGill A,225,Nick Edwards,20,1,5,1,James Wadsley,20,1,0,0,Ava Butler,20,0,1,0,Asha Basu,20,1,0,1
Penn Bowl 2024,Toronto Brown Food Truck Mexican Poutine Bowl,275,Marcus Forbes-Green,20,0,1,1,Jason Zhang,20,0,3,0,Chris Wang,20,1,1,0,Amir Dolansky,20,0,5,1,uO AEHSA,175,Stefan  Vlad,20,0,2,0,Ian Theysmeyer,20,0,0,0,Gabrielle Clark,20,0,5,0,Aedan Cooper,20,0,0,1
Penn Bowl 2024,McGill Fartlets,70,Luke Sloan,20,0,0,0,Devito Stevanus,20,0,1,0,Denali Tran-Le,20,0,1,1,Charlotte Bauer,20,1,0,0,Waterloo Turkmenchay,420,Micah Colman,20,2,3,0,Jason Wang,20,0,0,0,Jacob Bicol,20,0,2,0,Caleb Ott,20,3,6,1
Penn Bowl 2024,McGill A,165,Nick Edwards,20,0,6,1,James Wadsley,20,0,1,1,Ava Butler,20,0,0,0,Asha Basu,20,0,0,1,Waterloo Turkmenchay,325,Micah Colman,20,0,3,1,Jason Wang,20,0,0,0,Jacob Bicol,20,1,2,0,Caleb Ott,20,1,6,0
Penn Bowl 2024,McGill Fartlets,80,Nabhaan Farooqi,20,0,2,0,Luke Sloan,20,0,1,0,Devito Stevanus,20,0,1,0,Denali Tran-Le,20,0,0,0,Les junglers de Nostre Dame,455,Zhenglin Liu,20,0,2,0,Paul Kasiński,20,1,1,0,Kais Jessa,20,1,1,0,Henry Atkins,20,2,8,3
Penn Bowl 2024,Toronto just put the Northrop Fryes in the bag,215,Yihong Chen,20,0,3,1,Joey Sun,20,0,4,2,Franklin Wu,20,0,3,0,Athan Juritsch,20,0,0,0,uO AEHSA,155,Stefan  Vlad,20,1,1,1,Ian Theysmeyer,20,0,0,0,Gabrielle Clark,20,0,2,0,Aedan Cooper,20,1,1,0
Penn Bowl 2024,Chimera Team B,205,Milan Fernandez,20,0,2,3,Ishan Joshi,20,0,3,0,Halee Carey,20,0,0,0,Elijah Mandelbaum,20,0,3,0,Toronto ACF Winter Editors (and Gareth!),240,Sky Li,20,1,3,0,Raymond Chen,20,0,1,0,Gareth Thorlakson,20,1,1,3,Benjamin Chapman,20,0,2,3
Penn Bowl 2024,Toronto B,395,Rayton Lin,20,0,3,0,Parth Jagtap,20,0,4,1,Kunaal Chandrashekar,20,0,6,0,Ben Wismath,20,1,1,1,R1 replacement bus service will run between Tunney's Pasture and Blair stations,60,Maude-Sophie Lockman,20,0,3,2,James Wang,20,0,0,2,Colin Veevers,20,0,0,0,Adrian Wong,20,0,1,2
Penn Bowl 2024,Waterloo Gulistan,355,Michael Du,20,1,2,1,Mattias Ehatamm,20,1,3,2,Liam Kusalik,20,1,1,0,Jared He,20,0,4,1,Toronto Brown Food Truck Mexican Poutine Bowl,105,Marcus Forbes-Green,20,0,2,0,Jason Zhang,20,0,0,0,Chris Wang,20,0,1,0,Amir Dolansky,20,0,2,1
Penn Bowl 2024,Toronto B,330,Rayton Lin,20,0,2,0,Parth Jagtap,20,1,4,3,Kunaal Chandrashekar,20,0,3,0,Ben Wismath,20,0,3,0,Toronto Brown Food Truck Mexican Poutine Bowl,140,Marcus Forbes-Green,20,0,2,1,Jason Zhang,20,0,1,0,Chris Wang,20,0,0,0,Amir Dolansky,20,0,3,1
Penn Bowl 2024,McGill Fartlets,160,Nabhaan Farooqi,20,1,2,1,Luke Sloan,20,0,1,0,Devito Stevanus,20,0,2,0,Charlotte Bauer,20,0,2,2,Toronto just put the Northrop Fryes in the bag,225,Yihong Chen,20,0,4,0,Joey Sun,20,0,1,1,Franklin Wu,20,0,3,0,Athan Juritsch,20,0,1,0
Penn Bowl 2024,Toronto ACF Winter Editors (and Gareth!),475,Sky Li,20,1,5,0,Raymond Chen,20,1,1,1,Gareth Thorlakson,20,0,3,0,Benjamin Chapman,20,3,2,1,McGill A,65,Nick Edwards,20,1,2,1,James Wadsley,20,0,0,0,Ava Butler,20,0,0,1,Asha Basu,20,0,0,0
Penn Bowl 2024,Chimera Team B,170,Milan Fernandez,20,1,2,0,Ishan Joshi,20,0,3,1,Halee Carey,20,0,1,0,Elijah Mandelbaum,20,0,2,0,Waterloo Turkmenchay,285,Micah Colman,20,1,3,1,Jason Wang,20,0,0,0,Jacob Bicol,20,0,0,0,Caleb Ott,20,2,5,3
Penn Bowl 2024,Les junglers de Nostre Dame,445,Zhenglin Liu,20,1,3,0,Paul Kasiński,20,0,1,1,Kais Jessa,20,0,0,0,Henry Atkins,20,1,10,0,uO AEHSA,55,Stefan  Vlad,20,0,1,2,Ian Theysmeyer,20,0,0,0,Gabrielle Clark,20,1,1,1,Aedan Cooper,20,0,0,1
Penn Bowl 2024,Waterloo Gulistan,405,Michael Du,20,0,1,0,Mattias Ehatamm,20,1,2,1,Liam Kusalik,20,0,3,0,Jared He,20,1,6,0,R1 replacement bus service will run between Tunney's Pasture and Blair stations,145,Maude-Sophie Lockman,20,0,2,2,James Wang,20,0,1,1,Colin Veevers,20,0,0,1,Adrian Wong,20,3,0,0
Penn Bowl 2024,McGill Fartlets,210,Luke Sloan,20,0,1,1,Devito Stevanus,20,0,2,2,Denali Tran-Le,20,0,5,1,Charlotte Bauer,20,0,2,0,McGill A,200,Nick Edwards,20,0,5,2,James Wadsley,20,0,1,0,Ava Butler,20,0,1,0,Asha Basu,20,0,2,2
Penn Bowl 2024,Toronto ACF Winter Editors (and Gareth!),255,Sky Li,20,3,1,1,Raymond Chen,20,1,0,1,Gareth Thorlakson,20,0,1,1,Benjamin Chapman,20,0,2,0,Toronto B,290,Rayton Lin,20,0,1,0,Parth Jagtap,20,0,4,0,Kunaal Chandrashekar,20,0,1,0,Ben Wismath,20,2,2,0
Penn Bowl 2024,Toronto Brown Food Truck Mexican Poutine Bowl,235,Marcus Forbes-Green,20,0,2,0,Jason Zhang,20,0,3,0,Chris Wang,20,1,1,1,Amir Dolansky,20,0,3,1,Toronto just put the Northrop Fryes in the bag,180,Yihong Chen,20,0,3,1,Joey Sun,20,0,3,1,Franklin Wu,20,0,1,2,Athan Juritsch,20,0,1,0
Penn Bowl 2024,uO AEHSA,70,Stefan  Vlad,20,0,0,1,Ian Theysmeyer,20,0,1,0,Gabrielle Clark,20,0,2,1,Aedan Cooper,20,0,0,0,R1 replacement bus service will run between Tunney's Pasture and Blair stations,395,Maude-Sophie Lockman,20,1,4,2,James Wang,20,0,0,0,Colin Veevers,20,1,3,0,Adrian Wong,20,0,5,1
Penn Bowl 2024,Waterloo Turkmenchay,160,Micah Colman,20,0,3,1,Jason Wang,20,0,0,0,Jacob Bicol,20,0,1,0,Caleb Ott,20,1,1,0,Waterloo Gulistan,450,Michael Du,20,1,0,1,Mattias Ehatamm,20,3,3,0,Liam Kusalik,20,1,2,0,Jared He,20,0,4,0
Penn Bowl 2024,Les junglers de Nostre Dame,390,Zhenglin Liu,20,0,1,0,Paul Kasiński,20,1,0,0,Kais Jessa,20,0,2,0,Henry Atkins,20,2,8,1,Chimera Team B,40,Milan Fernandez,20,1,1,3,Ishan Joshi,20,0,1,4,Halee Carey,20,0,0,0,Elijah Mandelbaum,20,0,0,0
Penn Bowl 2024,Chimera Team B,220,Milan Fernandez,20,1,2,0,Ishan Joshi,20,1,3,4,Halee Carey,20,2,0,0,Elijah Mandelbaum,20,0,0,0,R1 replacement bus service will run between Tunney's Pasture and Blair stations,270,Maude-Sophie Lockman,20,0,1,0,James Wang,20,0,1,0,Colin Veevers,20,1,3,1,Adrian Wong,20,2,3,0
Penn Bowl 2024,Waterloo Turkmenchay,190,Micah Colman,20,1,1,0,Jason Wang,20,0,0,0,Jacob Bicol,20,0,1,0,Caleb Ott,20,1,3,2,Les junglers de Nostre Dame,300,Zhenglin Liu,20,1,2,1,Paul Kasiński,20,0,0,1,Kais Jessa,20,1,0,0,Henry Atkins,20,3,5,3
Penn Bowl 2024,Toronto ACF Winter Editors (and Gareth!),425,Sky Li,20,2,2,0,Raymond Chen,20,1,2,0,Gareth Thorlakson,20,0,3,0,Benjamin Chapman,20,1,5,3,McGill Fartlets,40,Nabhaan Farooqi,20,0,0,2,Devito Stevanus,20,0,0,0,Denali Tran-Le,20,0,2,0,Charlotte Bauer,20,0,0,0
Penn Bowl 2024,Toronto Brown Food Truck Mexican Poutine Bowl,150,Marcus Forbes-Green,20,0,1,1,Jason Zhang,20,0,3,1,Chris Wang,20,0,1,0,Amir Dolansky,20,0,2,4,McGill A,235,Nick Edwards,20,0,5,1,James Wadsley,20,0,2,1,Ava Butler,20,0,1,1,Asha Basu,20,0,2,0
Penn Bowl 2024,Toronto B,355,Rayton Lin,20,0,2,0,Parth Jagtap,20,2,3,2,Kunaal Chandrashekar,20,0,4,0,Ben Wismath,20,1,2,0,Toronto just put the Northrop Fryes in the bag,80,Yihong Chen,20,0,0,1,Joey Sun,20,1,2,1,Franklin Wu,20,0,1,1,Athan Juritsch,20,0,0,0
Penn Bowl 2024,Waterloo Gulistan,395,Michael Du,20,1,0,2,Mattias Ehatamm,20,2,6,1,Liam Kusalik,20,1,1,0,Jared He,20,1,2,1,uO AEHSA,110,Stefan  Vlad,20,0,1,0,Ian Theysmeyer,20,0,0,0,Gabrielle Clark,20,1,3,2,Aedan Cooper,20,0,0,1
Penn Bowl 2024,Toronto B,220,Rayton Lin,20,1,0,0,Parth Jagtap,20,1,3,0,Kunaal Chandrashekar,20,0,1,1,Ben Wismath,20,0,1,1,Waterloo Gulistan,385,Michael Du,20,0,2,1,Mattias Ehatamm,20,4,2,1,Liam Kusalik,20,2,1,1,Jared He,20,0,2,0
Penn Bowl 2024,McGill A,250,Nick Edwards,20,0,4,2,James Wadsley,20,0,1,0,Ava Butler,20,0,3,0,Asha Basu,20,1,1,1,Chimera Team B,215,Milan Fernandez,20,2,0,4,Ishan Joshi,20,0,1,0,Halee Carey,20,0,2,1,Elijah Mandelbaum,20,0,4,0
Penn Bowl 2024,R1 replacement bus service will run between Tunney's Pasture and Blair stations,295,Maude-Sophie Lockman,20,1,1,5,James Wang,20,0,1,1,Colin Veevers,20,0,4,1,Adrian Wong,20,1,3,0,McGill Fartlets,105,Nabhaan Farooqi,20,0,2,2,Luke Sloan,20,0,2,0,Devito Stevanus,20,0,1,1,Denali Tran-Le,20,0,1,0
Penn Bowl 2024,Toronto Brown Food Truck Mexican Poutine Bowl,80,Marcus Forbes-Green,20,0,0,1,Jason Zhang,20,0,1,1,Chris Wang,20,1,0,0,Amir Dolansky,20,0,2,3,Les junglers de Nostre Dame,385,Zhenglin Liu,20,0,2,0,Paul Kasiński,20,0,2,0,Kais Jessa,20,1,0,1,Henry Atkins,20,3,5,0
Penn Bowl 2024,Waterloo Turkmenchay,240,Micah Colman,20,0,3,1,Jason Wang,20,0,0,0,Jacob Bicol,20,0,1,0,Caleb Ott,20,3,4,2,Toronto just put the Northrop Fryes in the bag,170,Yihong Chen,20,1,3,0,Joey Sun,20,0,0,1,Franklin Wu,20,0,2,0,Athan Juritsch,20,0,1,0
Penn Bowl 2024,Toronto ACF Winter Editors (and Gareth!),545,Sky Li,20,1,5,0,Raymond Chen,20,2,2,0,Gareth Thorlakson,20,1,3,0,Benjamin Chapman,20,3,2,0,uO AEHSA,25,Stefan  Vlad,20,0,0,0,Ian Theysmeyer,20,0,0,0,Gabrielle Clark,20,0,0,0,Aedan Cooper,20,1,0,0
Penn Bowl 2024,Toronto ACF Winter Editors (and Gareth!),335,Sky Li,20,1,3,2,Raymond Chen,20,1,2,0,Gareth Thorlakson,20,0,3,1,Benjamin Chapman,20,0,2,2,Waterloo Gulistan,210,Michael Du,20,0,2,0,Mattias Ehatamm,20,1,1,1,Liam Kusalik,20,0,0,0,Jared He,20,0,3,0
Penn Bowl 2024,Toronto B,300,Rayton Lin,20,0,2,0,Parth Jagtap,20,1,4,0,Kunaal Chandrashekar,20,1,2,0,Ben Wismath,20,0,1,0,Waterloo Turkmenchay,185,Micah Colman,20,0,1,0,Jason Wang,20,0,0,0,Jacob Bicol,20,0,1,0,Caleb Ott,20,3,4,2
PLAYTIME!,Toronto C,380,Franklin Wu,20,1,0,0,Joey Sun,20,0,0,0,Raymond Chen,20,4,2,0,Sky Li,20,2,2,5,Ottawa A,150,Aedan Cooper,20,0,0,0,Anastacia Healey,20,0,1,0,Jesse Chusing,20,0,0,0,Stefan Vlad,20,2,2,0
PLAYTIME!,McGill A,365,Asha Basu,20,0,4,0,Ava Butler,20,1,1,0,Luke Sloan,20,0,1,0,Nick Edwards,20,2,6,0,McGill B,105,Charlie Ruff,20,0,0,1,Charlotte Bauer,20,0,0,0,Denali Tran-Le,20,0,1,0,Nabhaan Farooqi,20,1,3,1
PLAYTIME!,Waterloo B,435,Caleb Ott,20,0,7,1,James Ah Yong,3,0,0,0,Micah Colman,20,0,8,2,None,0,0,0,0,Toronto E,60,Athan Juritsch,20,0,3,2,James Fan,20,0,0,0,Jason Panusopone,20,0,0,0,Liam Austin,20,0,0,0
PLAYTIME!,Toronto B,355,Benjamin Chapman,20,1,4,3,Gareth Thorlakson,20,0,3,1,Tony Chen,20,1,2,1,None,0,0,0,0,Toronto D,190,Abhi Nair,20,0,0,0,Amir Dolansky,20,1,5,0,Chris Wang,20,0,1,2,Victor Xu,20,0,1,1
PLAYTIME!,Toronto A,450,Ben Wismath,20,1,1,0,Jason Zhang,20,2,1,1,Kunaal Chandrashekar,20,1,2,0,Parth Jagtap,20,2,5,1,Guelph,65,Elijah Mandelbaum,20,0,3,1,Monica Wang,20,0,1,0,None,0,0,0,0,None,0,0,0,0
PLAYTIME!,Waterloo C,240,Dawson Teu,20,0,3,0,Jason Wang,20,0,0,0,Rayton Lin,20,1,3,1,Xavier Spano,20,1,1,1,Toronto Metropolitan,190,Ishan Joshi,20,0,3,3,Jack van Nostrand,20,1,5,2,None,0,0,0,0,None,0,0,0,0
PLAYTIME!,UBC,30,Joyann Hua,20,0,1,1,Tai Belke,20,0,1,1,None,0,0,0,0,None,0,0,0,0,Waterloo A,580,Jared He,20,3,5,0,Liam Kusalik,20,2,4,0,Michael Du,20,1,3,0,None,0,0,0,0
